nome_associado;sobrenome_associado;idade_associado;vlr_transacao_movimento;des_tranacao_movimento;data_movimento;numero_cartao;nome_impresso_cartao;data_criacao_cartao;tipo_conta;data_criacao_conta
Nome31;Sobrenome31;49;641.00;Compra Online;2023-12-09 17:16:35;4000000000000311;Nome31;2025-07-31 17:16:35;J;2025-07-31 17:16:35
Nome76;Sobrenome76;44;686.00;Supermercado;2023-10-25 17:16:35;4000000000000761;Nome76;2025-06-16 17:16:35;F;2025-06-16 17:16:35
Nome28;Sobrenome28;46;38.00;Supermercado;2025-08-03 17:16:35;4000000000000281;Nome28;2025-08-03 17:16:35;F;2025-08-03 17:16:35
Nome13;Sobrenome13;31;323.00;Restaurante;2024-10-22 17:16:35;4000000000000131;Nome13;2025-08-18 17:16:35;J;2025-08-18 17:16:35
Nome5;Sobrenome5;23;315.00;Restaurante;2024-10-30 17:16:35;4000000000000051;Nome5;2025-08-26 17:16:35;J;2025-08-26 17:16:35
Nome30;Sobrenome30;48;460.00;Pagamento Aluguel;2024-06-07 17:16:35;4000000000000302;Nome30;2025-08-01 17:16:35;F;2025-08-01 17:16:35
Nome89;Sobrenome89;57;249.00;Compra Online;2025-01-04 17:16:35;4000000000000891;Nome89;2025-06-03 17:16:35;J;2025-06-03 17:16:35
Nome5;Sobrenome5;23;135.00;Restaurante;2025-04-28 17:16:35;4000000000000052;Nome5;2025-08-26 17:16:35;J;2025-08-26 17:16:35
Nome41;Sobrenome41;59;951.00;Restaurante;2023-02-02 17:16:35;4000000000000411;Nome41;2025-07-21 17:16:35;J;2025-07-21 17:16:35
Nome97;Sobrenome97;65;1007.00;Restaurante;2022-12-08 17:16:35;4000000000000971;Nome97;2025-05-26 17:16:35;J;2025-05-26 17:16:35
Nome50;Sobrenome50;18;210.00;Supermercado;2025-02-12 17:16:35;4000000000000501;Nome50;2025-07-12 17:16:35;F;2025-07-12 17:16:35
Nome58;Sobrenome58;26;518.00;Supermercado;2024-04-10 17:16:35;4000000000000581;Nome58;2025-07-04 17:16:35;F;2025-07-04 17:16:35
Nome93;Sobrenome93;61;703.00;Restaurante;2023-10-08 17:16:35;4000000000000931;Nome93;2025-05-30 17:16:35;J;2025-05-30 17:16:35
Nome39;Sobrenome39;57;199.00;Restaurante;2025-02-23 17:16:35;4000000000000391;Nome39;2025-07-23 17:16:35;J;2025-07-23 17:16:35
Nome39;Sobrenome39;57;349.00;Compra Online;2024-09-26 17:16:35;4000000000000391;Nome39;2025-07-23 17:16:35;J;2025-07-23 17:16:35
Nome11;Sobrenome11;29;21.00;Compra Online;2025-08-20 17:16:35;4000000000000111;Nome11;2025-08-20 17:16:35;J;2025-08-20 17:16:35
Nome65;Sobrenome65;33;375.00;Restaurante;2024-08-31 17:16:35;4000000000000651;Nome65;2025-06-27 17:16:35;J;2025-06-27 17:16:35
Nome28;Sobrenome28;46;608.00;Pagamento Aluguel;2024-01-11 17:16:35;4000000000000282;Nome28;2025-08-03 17:16:35;F;2025-08-03 17:16:35
Nome59;Sobrenome59;27;669.00;Compra Online;2023-11-11 17:16:35;4000000000000591;Nome59;2025-07-03 17:16:35;J;2025-07-03 17:16:35
Nome22;Sobrenome22;40;302.00;Supermercado;2024-11-12 17:16:35;4000000000000222;Nome22;2025-08-09 17:16:35;F;2025-08-09 17:16:35
Nome3;Sobrenome3;21;863.00;Restaurante;2023-05-01 17:16:35;4000000000001031;Nome3;2025-05-20 17:16:35;J;2025-05-20 17:16:35
Nome3;Sobrenome3;21;133.00;Compra Online;2025-04-30 17:16:35;4000000000000032;Nome3;2025-08-28 17:16:35;J;2025-08-28 17:16:35
Nome88;Sobrenome88;56;548.00;Pagamento Aluguel;2024-03-11 17:16:35;4000000000000881;Nome88;2025-06-04 17:16:35;F;2025-06-04 17:16:35
Nome25;Sobrenome25;43;185.00;Compra Online;2025-03-09 17:16:35;4000000000000251;Nome25;2025-08-06 17:16:35;J;2025-08-06 17:16:35
